% Description

%WL_low   WL_up      O_i	 O_a	       N_i	       N_a	      O2_i	      O2_a	      N2_i	      N2_a	      NO_i	  NO_a    O+(4S)   O+(2D)     O+(2P) 
5	    10	   1.060	 1.060	 0.380	 0.380	 1.180	 1.180	 0.600	 0.600	0.000	  0.000   0.360	 0.440	0.140  
10	    15	   3.530	 3.530	 0.670	 0.670	 3.610	 3.610	 2.320	 2.320	0.000	  0.000   0.360	 0.410	0.195  
15	    20	   5.960	 5.960	 2.000	 2.000	 7.270	 7.270	 5.400	 5.400	0.000	  0.000   0.330	 0.420	0.230  
20	    25	   7.550	 7.550	 3.000	 3.000	10.500	10.500	 8.150	 8.150	0.000	  0.000   0.330	 0.410	0.250  
25.630    NaN	   8.430	 8.430	 0.000	 0.000	12.800	12.800	 9.650	 9.650	0.000	  0.000   0.330	 0.420	0.250  
28.415    NaN	   9.260	 9.260	 0.000	 0.000	14.800	14.800	10.600	10.600	0.000	  0.000   0.310	 0.430	0.250  
25	    30	   8.780	 8.780	 4.000	 4.000	13.650	13.650	10.080	10.080	0.000	  0.000   0.315	 0.415	0.250  
30.378    NaN	   9.700	 9.700	 0.000	 0.000	15.980	15.980	11.580	11.580	0.000	  0.000   0.310	 0.430	0.250  
30	    35	  10.030	10.030	 6.000	 6.000	17.190	17.190	14.600	14.600	0.000	  0.000   0.310	 0.430	0.250  
36.807    NaN	  10.840	10.840	 8.000	 8.000	18.400	18.400	18.000	18.000	0.000	  0.000   0.310	 0.430	0.250  
35	    40	  10.700	10.700	 7.000	 7.000	18.170	18.170	17.510	17.510	0.000	  0.000   0.305	 0.430	0.260  
40	    45	  11.210	11.210	 8.000	 8.000	19.390	19.390	21.070	21.070	0.000	  0.000   0.315	 0.410	0.270  
46.512    NaN	  11.250	11.250	 0.000	 0.000	20.400	20.400	21.800	21.800	0.000	  0.000   0.320	 0.420	0.260  
45	    50	  11.640	11.640	 0.000	 0.000	21.590	21.590	21.850	21.850	0.000	  0.000   0.320	 0.450	0.230  
50	    55	  11.910	11.910	11.000	11.000	24.060	24.060	24.530	24.530	0.000	  0.000   0.325	 0.420	0.255  
55.437    NaN	  12.130	12.130	 0.000	 0.000	25.590	25.590	24.690	24.690	0.000	  0.000   0.340	 0.460	0.200  
58.433    NaN	  12.170	12.170	 0.000	 0.000	22.000	22.000	23.200	23.200	21.483  23.100  0.340	 0.410	0.250  
55	    60	  11.900	11.900	 0.000	 0.000	25.040	25.040	22.380	22.380	0.000	  0.000   0.340	 0.410	0.250  
60.976    NaN	  12.230	12.230	12.000	12.000	26.100	26.100	23.100	23.100	22.752  23.700  0.350	 0.410	0.240  
62.973    NaN	  12.220	12.220	 0.000	 0.000	25.800	25.800	23.200	23.200	22.752  23.700  0.360	 0.410	0.230  
60	    65	  12.210	12.210	11.000	11.000	25.940	26.020	23.220	23.220	21.600  22.500  0.400	 0.420	0.180  
65	    70	  10.040	10.040	 0.000	 0.000	22.050	25.270	25.060	29.750	13.248  20.700  0.510	 0.490	0.000  
70.331    NaN	  11.350	11.350	 0.000	 0.000	23.000	25.000	23.000	26.300	18.204  22.200  0.530	 0.470	0.000  
70        75	   8.000	 8.000	11.000	11.000	23.810	29.050	23.200	30.940	16.068  20.600  0.540	 0.460	0.000  
76.515    NaN	   4.180	 4.180	 0.000	 0.000	 8.590	21.980	23.770	35.360	9.120	  16.000  1.000	 0.000	0.000  
77.041    NaN	   4.180	 4.180	 0.000	 0.000	 9.690	25.180	18.390	26.280	9.120	  16.000  1.000	 0.000	0.000  
78.936    NaN	   4.280	 4.280	 0.000	 0.000	11.050	26.660	10.180	19.260	9.576	  17.100  1.000	 0.000	0.000  
75	    80	   4.230	 4.230	 0.000	 0.000	 9.390	27.090	16.750	30.710	10.962  18.900  1.000	 0.000	0.000  
80	    85	   4.380	 4.380	 10.000	10.000	 6.120	20.870	 0.000	15.050	9.558   17.700  1.000	 0.000	0.000  
85	    90	   4.180	 4.180	 10.000	10.000	 4.690	 9.850	 0.000	46.630	12.74   27.100  1.000	 0.000	0.000  
90	    95	   2.120	 2.120	 0.000	 0.000	 9.340	15.540	 0.000	16.990	15.210  33.800  1.000	 0.000	0.000  
97.762    NaN	   0.000	 0.000	 0.000	 0.000	 2.500	 4.000	 0.000	 0.700	10.780  19.600  0.000	 0.000	0.000  
95	    100	   0.000	 0.000	 0.000	 0.000	12.220	16.530	 0.000	36.160	10.945  19.900  0.000	 0.000	0.000  
102.572   NaN	   0.000	 0.000	 0.000	 0.000	 1.000	 1.600	 0.000	 0.000	10.088  19.400  0.000	 0.000	0.000  
103.191   NaN	   0.000	 0.000	 0.000	 0.000	 0.000	 1.000	 0.000	 0.000	8.556	  13.800  0.000	 0.000	0.000  
100	    105	   0.000	 0.000	 0.000	 0.000	 0.270	 1.100	 0.000	 0.000	19.764  32.400  0.000	 0.000	0.000  
                                                               
