% The Solar-SPAM model = based on TIMED SEE data from 22.01.2002 to 24.11.2016 :  
% F(f) = p1*f^2 + p2*f + p3 
% F - photon energy flux,  [W m^-2 nm^-1]
% f == f107 - measured solar radio flux at 10.7 cm,  [10^-22 W m^-2]

%lambda  p1              p2              p3              CC    RMSE            I_aver           std         
0.5    -2.58825263e-10  2.09144982e-07 -1.23612166e-05  0.83  3.14245291e-06  6.31530019e-06  5.63692606e-06 
1.5    -4.94024181e-09  3.22175699e-06 -1.80553335e-04  0.93  2.67305197e-05  9.59205027e-05  7.04414561e-05 
2.5    -1.51234762e-09  8.72873177e-07 -3.59300652e-05  0.96  4.64649582e-06  3.69271327e-05  1.70466162e-05 
3.5    -8.19051896e-10  4.76131943e-07 -1.75069528e-05  0.96  2.57208191e-06  2.23044221e-05  9.34971028e-06 
4.5    -1.25299002e-09  7.18966612e-07 -2.30913459e-05  0.96  3.78321360e-06  3.68335311e-05  1.39783172e-05 
5.5    -1.05306909e-09  6.00386365e-07 -1.72945105e-05  0.96  3.13381799e-06  3.26675197e-05  1.16192412e-05 
6.5    -1.24449248e-09  7.07626722e-07 -2.22302072e-05  0.96  3.69094684e-06  3.66168191e-05  1.36708760e-05 
7.5    -2.59694610e-09  1.45374662e-06 -6.31698909e-05  0.96  7.43469515e-06  5.72510536e-05  2.77663211e-05 
8.5    -2.16866639e-09  1.21455389e-06 -4.96505577e-05  0.96  6.21501074e-06  5.09685464e-05  2.32056086e-05 
9.5    -1.52361462e-09  8.68533191e-07 -3.02456892e-05  0.96  4.53196359e-06  4.20279825e-05  1.68067430e-05 
10.5    -1.01521500e-09  5.78430109e-07 -1.79161041e-05  0.96  3.02874105e-06  3.02110673e-05  1.11923388e-05 
11.5    -5.92986152e-10  3.39846459e-07 -7.46323908e-06  0.96  1.86757596e-06  2.08540907e-05  6.62433308e-06 
12.5    -3.91620799e-10  2.22633150e-07 -6.85281881e-06  0.96  1.16787269e-06  1.16606688e-05  4.30236828e-06 
13.5    -3.68662392e-10  2.14384736e-07 -5.53046688e-06  0.96  1.20433914e-06  1.23966251e-05  4.22365188e-06 
14.5    -8.15473279e-10  4.56904530e-07 -1.28641555e-05  0.96  2.34443139e-06  2.49921100e-05  8.73395887e-06 
15.5    -1.05314223e-09  5.90337830e-07 -2.51992115e-05  0.96  3.02143819e-06  2.37181593e-05  1.12858808e-05 
16.5    -1.71833912e-09  9.58528730e-07 -2.37694140e-05  0.96  4.91384954e-06  5.55590553e-05  1.82690041e-05 
17.5    -7.84248508e-09  4.35156360e-06 -6.77832612e-05  0.96  2.24071577e-05  2.91866127e-04  8.26773679e-05 
18.5    -5.35989584e-09  2.98171616e-06 -7.78638812e-05  0.96  1.53019138e-05  1.68732701e-04  5.67328187e-05 
19.5    -5.64009182e-09  3.15119971e-06 -1.24435988e-04  0.96  1.61351843e-05  1.36465540e-04  6.01173698e-05 
20.5    -4.90601610e-09  2.74377445e-06 -1.31174042e-04  0.96  1.40380060e-05  9.60521782e-05  5.23753942e-05 
21.5    -4.26086127e-09  2.38514084e-06 -1.14409417e-04  0.96  1.22091037e-05  8.31624107e-05  4.55581493e-05 
22.5    -3.19159017e-09  1.77982999e-06 -5.49342607e-05  0.96  9.12119600e-06  9.23548361e-05  3.39153607e-05 
23.5    -1.75266637e-09  9.77475268e-07 -2.67796958e-05  0.96  5.01372608e-06  5.41125365e-05  1.86283427e-05 
24.5    -2.43810818e-09  1.36192347e-06 -4.57043670e-05  0.96  6.97290978e-06  6.70492487e-05  2.59785872e-05 
25.5    -3.98387625e-09  2.22551933e-06 -7.70072803e-05  0.96  1.13958300e-05  1.07246205e-04  4.24536289e-05 
26.5    -2.00773403e-09  1.12849376e-06 -5.67602506e-05  0.96  5.77108499e-06  3.68148303e-05  2.16107880e-05 
27.5    -1.19730867e-09  5.65394676e-07 -5.85964757e-06  0.94  3.19981683e-06  3.87686845e-05  9.61102432e-06 
28.5    -1.46295195e-09  1.01404261e-06 -3.58365291e-05  0.93  8.68678105e-06  5.22665365e-05  2.28917991e-05 
